日期,对阵,盘口,下盘球队,下盘水位,比分,单场盈亏,累计盈亏
2014/6/13,巴西VS克罗地亚,1.5,克罗地亚,0.825 ,3-1,-100,-100
2014/6/14,墨西哥VS喀麦隆,0/0.5,喀麦隆,1.050 ,1-0,-100,-200
2014/6/14,西班牙VS荷兰,0.5,荷兰,1.050 ,1-5,105,-95
2014/6/14,智利VS澳大利亚,1/1.5,澳大利亚,0.875 ,3-1,-100,-195
2014/6/15,哥伦比亚VS希腊,0.5,希腊,1.050 ,3-0,-100,-295
2014/6/15,乌拉圭VS哥斯达黎加,1,哥斯达黎加,1.075 ,1-3,107.5,-187.5
2014/6/15,英格兰VS意大利,0/0.5,意大利,0.825 ,1-2,82.5,-105
2014/6/15,科特迪瓦VS日本,0,,,2-1,0,-105
2014/6/16,瑞士VS厄瓜多尔,0/0.5,厄瓜多尔,0.800 ,2-1,-100,-205
2014/6/16,法国VS洪都拉斯,1.5,洪都拉斯,1.075 ,3-0,-100,-305
2014/6/16,阿根廷VS波黑,1.5,波黑,0.950 ,2-1,95,-210
2014/6/17,德国VS葡萄牙,0.5,葡萄牙,0.775 ,4-0,-100,-310
2014/6/17,伊朗VS尼日利亚,-0.5,伊朗,1.075 ,0-0,107.5,-202.5
2014/6/17,加纳VS美国,0/0.5,美国,0.800 ,1-2,80,-122.5
2014/6/18,比利时VS阿尔及利亚,1.5,阿尔及利亚,0.825 ,2-1,82.5,-40
2014/6/18,巴西VS墨西哥,1/1.5,墨西哥,1.025 ,0-0,102.5,62.5
2014/6/18,俄罗斯VS韩国,0.5,韩国,1.100 ,1-1,110,172.5
2014/6/19,澳大利亚VS荷兰,-1.5/2,澳大利亚,0.825 ,2-3,82.5,255
2014/6/19,西班牙VS智利,1,智利,0.875 ,0-2,87.5,342.5
2014/6/19,喀麦隆VS克罗地亚,-0.5/1,喀麦隆,1.050 ,0-4,-100,242.5
2014/6/20,哥伦比亚VS科特迪瓦,0.5,科特迪瓦,0.900 ,2-1,-100,142.5
2014/6/20,乌拉圭VS英格兰,-0.5,乌拉圭,0.975 ,2-1,97.5,240
2014/6/20,日本VS希腊,0/0.5,希腊,0.800 ,0-0,40,280
2014/6/21,意大利VS哥斯达黎加,1,哥斯达黎加,0.825 ,0-1,82.5,362.5
2014/6/21,瑞士VS法国,-0.5,瑞士,1.050 ,2-5,-100,262.5
2014/6/21,洪都拉斯VS厄瓜多尔,-1,洪都拉斯,0.900 ,1-2,0,262.5
2014/6/22,阿根廷VS伊朗,2,伊朗,0.850 ,1-0,85,347.5
2014/6/22,德国VS加纳,1.5,加纳,0.825 ,2-2,82.5,430
2014/6/22,尼日利亚VS波黑,-0.5,尼日利亚,1.050 ,1-0,105,535
2014/6/23,比利时VS俄罗斯,0/0.5,俄罗斯,0.950 ,1-0,-100,435
2014/6/23,韩国VS阿尔及利亚,0,,,2-4,0,435
2014/6/23,美国VS葡萄牙,-0.5/1,美国,1.000 ,2-2,100,535
2014/6/24,澳大利亚VS西班牙,-1.5,澳大利亚,0.975 ,0-3,-100,435
2014/6/24,荷兰VS智利,0,,,2-0,0,435
2014/6/24,巴西VS喀麦隆 ,2.5,喀麦隆 ,1.050 ,4-1,-100,335
2014/6/24,克罗地亚VS墨西哥,0,,,1-3,0,335
2014/6/25,意大利VS乌拉圭,0,,,0-1,0,335
2014/6/25,哥斯达黎加VS英格兰,-0.5/1,哥斯达黎加,0.950 ,0-0,95,430
2014/6/25,日本VS哥伦比亚,-0/0.5,日本,1.100 ,1-4,-100,330
2014/6/25,希腊VS科特迪瓦,-0.5,希腊,0.950 ,2-1,95,425
2014/6/26,尼日利亚VS阿根廷,-1/1.5,尼日利亚,1.075 ,2-3,53.75,478.75
2014/6/26,波黑VS伊朗,0/0.5,伊朗,1.050 ,3-1,-100,378.75
2014/6/26,洪都拉斯VS瑞士,-1/1.5,洪都拉斯,0.775 ,0-3,-100,278.75
2014/6/26,厄瓜多尔VS法国,-1,厄瓜多尔,0.775 ,0-0,77.5,356.25
2014/6/27,美国VS德国,-0.5/1,美国,1.100 ,0-1,-50,306.25
2014/6/27,葡萄牙VS加纳,0.5/1,加纳,1.050 ,2-1,-50,256.25
2014/6/27,韩国VS比利时,-0.5,韩国,1.050 ,0-1,-100,156.25
2014/6/27,阿尔及利亚VS俄罗斯,-0.5,阿尔及利亚,0.925 ,1-1,92.5,248.75
2014/6/29,巴西VS智利,1,智利,1.075 ,1-1,107.5,356.25
2014/6/29,哥伦比亚VS乌拉圭,0/0.5,乌拉圭,1.050 ,2-0,-100,256.25
2014/6/30,荷兰VS墨西哥,0/0.5,墨西哥,1.050 ,2-1,-100,156.25
2014/6/30,哥斯达黎加VS希腊,0,,,1-1,0,156.25
2014/7/1,法国VS尼日利亚,1/1.5,尼日利亚,0.950 ,2-0,-100,56.25
2014/7/1,德国VS阿尔及利亚,1.5,阿尔及利亚,0.900 ,0-0,90,146.25
2014/7/2,阿根廷VS瑞士,1,瑞士,0.900 ,0-0,90,236.25
2014/7/2,比利时VS美国,0.5,美国,0.900 ,0-0,90,326.25
2014/7/5,德国VS法国,0,,,1-0,0,326.25
2014/7/5,巴西VS哥伦比亚,0.5/1,哥伦比亚,0.975 ,2-1,-50,276.25
2014/7/6,阿根廷VS比利时,0.5,比利时,0.925 ,1-0,-100,176.25
2014/7/6,荷兰VS哥斯达黎加,1,哥斯达黎加,0.950 ,0-0,95,271.25
2014/7/9,巴西VS德国,0,,,1-7,0,271.25
2014/7/10,阿根廷VS荷兰,0/0.5,荷兰,0.825 ,0-0,41.25,312.5
2014/7/13,巴西VS荷兰,0/0.5,荷兰,1.100 ,0-3,110,422.5
2014/7/14,德国VS阿根廷,0/0.5,阿根廷,0.825 ,0-0,82.5,505
